iter	Passed	Remaining
782	33759	4277747
783	33794	4276701
784	33836	4276592
785	33874	4275893
786	33919	4276105
787	33957	4275365
788	34002	4275532
789	34040	4274871
790	34083	4274839
791	34119	4273861
792	34162	4273819
793	34200	4273175
794	34243	4273170
795	34281	4272491
796	34327	4272713
797	34363	4271891
798	34408	4272031
799	34446	4271399
800	34490	4271458
801	34526	4270564
802	34569	4270535
803	34607	4269842
804	34654	4270258
805	34690	4269322
806	34734	4269472
807	34771	4268635
808	34816	4268856
809	34854	4268166
810	34902	4268749
811	34941	4268172
812	34984	4268130
813	35021	4267403
814	35065	4267439
815	35100	4266464
816	35144	4266567
817	35183	4265944
818	35231	4266498
819	35268	4265728
820	35314	4266096
821	35348	4264985
822	35395	4265335
823	35432	4264599
824	35476	4264728
825	35512	4263868
826	35558	4264167
827	35594	4263288
828	35642	4263772
829	35679	4263112
830	35724	4263238
831	35758	4262174
832	35802	4262213
833	35839	4261492
834	35886	4261889
835	35924	4261232
836	35968	4261322
837	36008	4260922
838	36053	4261136
839	36091	4260484
840	36137	4260780
841	36173	4259947
842	36220	4260433
843	36256	4259561
844	36303	4259939
845	36340	4259253
846	36386	4259530
847	36422	4258665
848	36467	4258873
849	36505	4258227
850	36552	4258707
851	36588	4257794
852	36634	4258197
853	36671	4257378
854	36716	4257664
855	36753	4256910
856	36798	4257076
857	36832	4256025
858	36879	4256470
859	36917	4255779
860	36963	4256150
861	37001	4255549
862	37047	4255782
863	37082	4254924
864	37129	4255244
865	37167	4254724
866	37210	4254694
867	37246	4253852
868	37291	4254051
869	37329	4253470
870	37375	4253691
871	37412	4253022
872	37459	4253489
873	37496	4252724
874	37539	4252728
875	37576	4252022
876	37620	4252106
877	37660	4251706
878	37706	4251974
879	37742	4251174
880	37786	4251270
881	37821	4250316
882	37867	4250613
883	37905	4250035
884	37951	4250307
885	37988	4249659
886	38032	4249707
887	38065	4248623
888	38109	4248725
889	38144	4247773
890	38189	4247953
891	38225	4247198
892	38272	4247543
893	38307	4246676
894	38353	4246949
895	38390	4246226
896	38434	4246368
897	38471	4245696
898	38519	4246138
899	38554	4245315
900	38599	4245488
901	38637	4244941
902	38685	4245448
903	38725	4245071
904	38772	4245477
905	38811	4245017
906	38855	4245058
907	38891	4244260
908	38935	4244426
909	38971	4243644
910	39019	4244137
911	39054	4243253
912	39100	4243488
913	39139	4243078
914	39186	4243469
915	39221	4242652
916	39264	4242609
917	39299	4241732
918	39345	4241995
919	39381	4241242
920	39426	4241377
921	39462	4240685
922	39511	4241232
923	39544	4240186
924	39589	4240314
925	39624	4239486
926	39671	4239858
927	39709	4239357
928	39756	4239780
929	39796	4239354
930	39841	4239636
931	39878	4238966
932	39925	4239288
933	39962	4238705
934	40010	4239237
935	40047	4238503
936	40091	4238666
937	40131	4238329
938	40178	4238662
939	40214	4237947
940	40259	4238072
941	40294	4237286
942	40337	4237228
943	40375	4236646
944	40420	4236835
945	40458	4236339
946	40503	4236508
947	40544	4236257
948	40589	4236461
949	40624	4235600
950	40668	4235702
951	40702	4234753
952	40747	4234999
953	40784	4234315
954	40831	4234686
955	40865	4233807
956	40915	4234426
957	40954	4234067
958	41002	4234523
959	41038	4233838
960	41084	4234069
961	41119	4233237
962	41165	4233537
963	41200	4232699
964	41245	4232908
965	41284	4232446
966	41327	4232448
967	41364	4231857
968	41409	4232022
969	41445	4231286
970	41492	4231707
971	41530	4231180
972	41574	4231287
973	41616	4231087
974	41661	4231359
975	41698	4230714
976	41745	4231057
977	41782	4230417
978	41826	4230501
979	41861	4229687
980	41905	4229850
981	41944	4229411
982	41988	4229464
983	42025	4228845
984	42069	4228954
985	42102	4227921
986	42147	4228094
987	42184	4227465
988	42228	4227551
989	42264	4226926
990	42311	4227233
991	42348	4226606
992	42390	4226569
993	42429	4226124
994	42472	4226162
995	42510	4225585
996	42555	4225834
997	42590	4225016
998	42634	4225125
999	42671	4224461
1000	42715	4224523
1001	42750	4223726
1002	42796	4224056
1003	42832	4223396
1004	42880	4223838
1005	42917	4223203
1006	42968	4223979
1007	43002	4223089
1008	43045	4223076
1009	43081	4222419
1010	43126	4222615
1011	43165	4222157
1012	43208	4222210
1013	43246	4221732
1014	43291	4221901
1015	43328	4221329
1016	43374	4221590
1017	43411	4220990
1018	43456	4221159
1019	43492	4220495
1020	43539	4220848
1021	43575	4220185
1022	43622	4220555
1023	43660	4220063
1024	43708	4220497
1025	43742	4219659
1026	43784	4219553
1027	43820	4218859
1028	43865	4219095
1029	43903	4218566
1030	43945	4218484
1031	43981	4217793
1032	44027	4218061
1033	44061	4217243
1034	44109	4217635
1035	44144	4216896
1036	44186	4216810
1037	44221	4216083
1038	44267	4216327
1039	44305	4215805
1040	44349	4215937
1041	44384	4215179
1042	44432	4215664
1043	44469	4215057
1044	44516	4215424
1045	44553	4214865
1046	44598	4215002
1047	44634	4214394
1048	44684	4215006
1049	44722	4214587
1050	44770	4215044
1051	44808	4214571
1052	44855	4214888
1053	44893	4214408
1054	44937	4214494
1055	44973	4213847
1056	45017	4213999
1057	45056	4213590
1058	45101	4213742
1059	45139	4213320
1060	45183	4213402
1061	45218	4212624
1062	45262	4212750
1063	45298	4212063
1064	45341	4212053
1065	45381	4211787
1066	45427	4212049
1067	45463	4211420
1068	45508	4211619
1069	45546	4211110
1070	45594	4211598
1071	45631	4211042
1072	45679	4211480
1073	45714	4210789
1074	45760	4211059
1075	45795	4210335
1076	45839	4210357
1077	45876	4209852
1078	45921	4210050
1079	45957	4209402
1080	46005	4209793
1081	46040	4209085
1082	46083	4209105
1083	46117	4208295
1084	46161	4208384
1085	46197	4207739
1086	46243	4207961
1087	46277	4207184
1088	46324	4207530
1089	46363	4207144
1090	46407	4207294
1091	46442	4206520
1092	46487	4206694
1093	46522	4206015
1094	46569	4206384
1095	46605	4205741
1096	46651	4205960
1097	46687	4205394
1098	46730	4205406
1099	46767	4204806
1100	46814	4205149
1101	46851	4204662
1102	46897	4204891
1103	46933	4204272
1104	46978	4204459
1105	47012	4203656
1106	47061	4204219
1107	47097	4203542
1108	47142	4203715
1109	47177	4203061
1110	47220	4203010
1111	47255	4202326
1112	47298	4202380
1113	47336	4201858
1114	47380	4201957
1115	47416	4201381
1116	47459	4201339
1117	47495	4200772
1118	47540	4200944
1119	47575	4200235
1120	47619	4200297
1121	47653	4199552
1122	47699	4199817
1123	47733	4199051
1124	47779	4199298
1125	47819	4198997
1126	47864	4199220
1127	47901	4198686
1128	47945	4198773
1129	47982	4198245
1130	48028	4198484
1131	48062	4197724
1132	48109	4198079
1133	48145	4197454
1134	48192	4197858
1135	48228	4197278
1136	48274	4197516
1137	48309	4196779
1138	48354	4196973
1139	48392	4196535
1140	48436	4196637
1141	48473	4196184
1142	48519	4196394
1143	48554	4195742
1144	48600	4196017
1145	48636	4195382
1146	48680	4195483
1147	48718	4195090
1148	48765	4195435
1149	48802	4194868
1150	48843	4194767
1151	48882	4194395
1152	48927	4194541
1153	48964	4194056
1154	49010	4194358
1155	49048	4193938
1156	49092	4194033
1157	49127	4193355
1158	49171	4193416
1159	49205	4192664
1160	49248	4192638
1161	49282	4191926
1162	49325	4191920
1163	49362	4191387
1164	49409	4191758
1165	49446	4191207
1166	49493	4191578
1167	49529	4190999
1168	49574	4191198
1169	49611	4190690
1170	49656	4190827
1171	49695	4190545
1172	49738	4190507
1173	49773	4189853
1174	49815	4189787
1175	49850	4189126
1176	49897	4189521
1177	49933	4188865
1178	49979	4189183
1179	50015	4188554
1180	50061	4188839
1181	50097	4188246
1182	50142	4188424
1183	50178	4187877
1184	50224	4188093
1185	50260	4187555
1186	50306	4187830
1187	50341	4187188
1188	50383	4187092
1189	50419	4186545
1190	50464	4186675
1191	50499	4186056
1192	50543	4186117
1193	50578	4185504
1194	50626	4185869
1195	50661	4185212
1196	50706	4185403
1197	50742	4184825
1198	50785	4184854
1199	50821	4184265
1200	50863	4184211
1201	50901	4183829
1202	50946	4184036
1203	50980	4183239
1204	51024	4183382
1205	51059	4182730
1206	51104	4182924
1207	51138	4182149
1208	51182	4182285
1209	51219	4181779
1210	51261	4181764
1211	51296	4181096
1212	51340	4181185
1213	51374	4180430
1214	51418	4180532
1215	51453	4179958
1216	51498	4180085
1217	51533	4179436
1218	51576	4179464
1219	51610	4178796
1220	51654	4178857
1221	51692	4178427
1222	51735	4178442
1223	51774	4178197
1224	51817	4178153
1225	51854	4177673
1226	51897	4177752
1227	51932	4177132
1228	51975	4177091
1229	52009	4176377
1230	52052	4176388
1231	52091	4176106
1232	52134	4176134
1233	52169	4175509
1234	52214	4175655
1235	52248	4174982
1236	52294	4175213
1237	52329	4174635
1238	52370	4174498
1239	52407	4173999
1240	52454	4174362
1241	52489	4173706
1242	52537	4174093
1243	52574	4173693
1244	52617	4173669
1245	52652	4173060
1246	52697	4173206
1247	52733	4172682
1248	52775	4172607
1249	52809	4171972
1250	52854	4172145
1251	52893	4171864
1252	52937	4171940
1253	52973	4171424
1254	53017	4171507
1255	53053	4170955
1256	53100	4171271
1257	53135	4170694
1258	53181	4170934
1259	53217	4170400
1260	53260	4170434
1261	53297	4169967
1262	53343	4170244
1263	53381	4169814
1264	53425	4169915
1265	53461	4169392
1266	53505	4169539
1267	53541	4168970
1268	53585	4169040
1269	53621	4168514
1270	53662	4168392
1271	53700	4168055
1272	53743	4168083
1273	53779	4167497
1274	53823	4167627
1275	53858	4167062
1276	53906	4167452
1277	53943	4166969
1278	53990	4167280
1279	54023	4166529
1280	54065	4166538
1281	54100	4165870
1282	54144	4166006
1283	54179	4165408
1284	54222	4165429
1285	54258	4164924
1286	54302	4165030
1287	54338	4164509
1288	54383	4164653
1289	54420	4164221
1290	54463	4164218
1291	54499	4163737
1292	54542	4163725
1293	54576	4163046
1294	54619	4163086
1295	54655	4162593
1296	54699	4162714
1297	54736	4162261
1298	54781	4162454
1299	54815	4161790
